Supplier,Total_Invoice_Amount,Total_Invoice_Count,Year,Client
Apollo Lighting Solution Inc.,60442.14,12,2018,equinor
"Appalachian Drilling Services, Inc.",50776.9,11,2015,equinor
"Appalachian Drilling Services, Inc.",104775.04,24,2016,equinor
"Appalachian Drilling Services, Inc.",78352.59,17,2017,equinor
Appalachian Oilfield Services LLC,2402613.91,463,2015,equinor
Appalachian Oilfield Services LLC,1356045.18,290,2016,equinor
Appalachian Oilfield Services LLC,2795100.62,540,2017,equinor
Appalachian Oilfield Services LLC,2640374.38,396,2018,equinor
Appalachian Pipe Inspection & Oil F,4875,1,2017,equinor
"Appalachian Security Group, LLC",38100,7,2015,equinor
"Appalachian Water Services, LLC",179666.6,61,2015,equinor
"Appalachian Water Services, LLC",38896.2,14,2016,equinor
"Appalachian Water Services, LLC",51086.6,12,2017,equinor
Apple Inc,39594.09,12,2018,equinor
Apple Ridge Funding LLC,1678540.46,305,2015,equinor
Apple Ridge Funding LLC,4226476.48,783,2016,equinor
Apple Ridge Funding LLC,1284490.69,356,2017,equinor
Apple Ridge Funding LLC,298716.74,111,2018,equinor
Applied Economics Consulting Group,143961.85,6,2015,equinor
Applied Economics Consulting Group,15675,1,2016,equinor
Applied Sedimentary Geology,2000,1,2016,equinor
Applied US Energy Inc,423901.49,394,2015,equinor
Applied US Energy Inc,82638.69,248,2016,equinor
Applied US Energy Inc,444154.51,804,2017,equinor
Applied US Energy Inc,398211.97,724,2018,equinor
Applus Velosi America LLC,12582.5,12,2015,equinor
AppSmiths Analysis LLC dba Lagniapp,5872.56,1,2015,equinor
APRENDA Group Ltd,9140.61,1,2015,equinor
Aramark Corporation,171062.92,57,2015,equinor
Aramark Corporation,137042.44,53,2016,equinor
Aramark Corporation,154228.78,52,2017,equinor
Aramark Corporation,42410.82,21,2018,equinor
Aramark Refreshment Services,3224.18,26,2015,equinor
ARAMARK Refreshment Services,142851.58,89,2015,equinor
Aramark Refreshment Services,5603.28,32,2016,equinor
ARAMARK Refreshment Services,7881.24,9,2016,equinor
Aramark Refreshment Services,5435.65,32,2017,equinor
Aramark Refreshment Services,1544.95,20,2018,equinor
Aramark Refreshments Services,6897.93,10,2018,equinor
"Aramark Services, Inc.",40000,1,2018,equinor
Aramark Sports & Entertainment,40000,1,2015,equinor
Aramark Sports & Entertainment,25000,1,2017,equinor
Aramark Sports & Entertainment,43300,1,2018,equinor
ARAMCO SERVICES COMPANY,2955.64,2,2018,equinor
ARC Energy Equipment LLC,31330,1,2018,equinor
Archer Oiltools LLC,65663.13,1,2015,equinor
"Archrock Partners, L.P.",8690,1,2015,equinor
"Archrock Partners, L.P.",1350080.06,67,2016,equinor
"Archrock Partners, L.P.",6129820.13,288,2017,equinor
"Archrock Partners, L.P.",3771391.98,167,2018,equinor
Archrock Services LP,302135,12,2016,equinor
Archrock Services LP,3948417.63,194,2017,equinor
Archrock Services LP,3761774.55,168,2018,equinor
Argus Machine Co. Ltd.,167321,2,2016,equinor
Argus Machine Co. Ltd.,211195,4,2017,equinor
Argus Machine Co. Ltd.,56845.4,2,2018,equinor
Aries Marine Corporation,1958290.58,6,2015,equinor
Arkadin Inc.,492.06,9,2015,equinor
Arkadin Inc.,1107.17,11,2016,equinor
Arkadin Inc.,643.11,5,2017,equinor
Armstrong Sanitation Plus,119431.36,99,2015,equinor
Armstrong Sanitation Plus,110224.28,120,2016,equinor
Armstrong Sanitation Plus,124839.62,133,2017,equinor
Armstrong Sanitation Plus,88388.7,145,2018,equinor
Armstrong Transfer and Storage Co.,13105.5,2,2017,equinor
Arthur J Gallagher Risk Mgmt,446,1,2015,equinor
Arthur J Gallagher Risk Mgmt,382957.7,1,2016,equinor
Arthur J Gallagher Risk Mgmt,-320865,1,2017,equinor
Arup USA Inc,100000,3,2018,equinor
As You Wish Concierge Services,3635.01,18,2015,equinor
Ascension Mobile LLC,58610.15,6,2015,equinor
Ashford TRS Lakeway LLC,2832.45,1,2016,equinor
Asset Guard Products Inc.,117780,9,2015,equinor
Asset Guard Products Inc.,76787.81,4,2016,equinor
Asset Guard Products Inc.,51532.75,4,2017,equinor
Asset Guard Products Inc.,75346.93,6,2018,equinor
Assisted Energy LLC,42603.97,37,2015,equinor
Assisted Energy LLC,6007.82,7,2016,equinor
"ASSOCIATED BUILDERS SPECIALTIES, IN",818.37,1,2015,equinor
Assured Telematics Inc.,7024.25,3,2015,equinor
Assured Telematics Inc.,9162.87,9,2016,equinor
Assured Telematics Inc.,31232.79,45,2017,equinor
Assured Telematics Inc.,45033.4,45,2018,equinor
"Astro-Chem Lab, Inc.",5522.08,15,2015,equinor
"Astro-Chem Lab, Inc.",36213,15,2016,equinor
"Astro-Chem Lab, Inc.",5167,10,2017,equinor
"Astro-Chem Lab, Inc.",11509.56,9,2018,equinor
AT&T,559631.87,66,2015,equinor
AT&T,110930.26,37,2016,equinor
AT&T,156071.18,44,2017,equinor
AT&T,113708.41,42,2018,equinor
AT&T LONG DISTANCE,1435.31,8,2015,equinor
AT&T LONG DISTANCE,1436.02,7,2016,equinor
AT&T LONG DISTANCE,2018.26,9,2017,equinor
AT&T LONG DISTANCE,1286.92,9,2018,equinor
AT&T Mobility,1240116.67,38,2015,equinor
AT&T Mobility,1167820.58,45,2016,equinor
AT&T Mobility,1259617.23,66,2017,equinor
AT&T Mobility,148812.91,17,2018,equinor
AT&T TELECONFERENCE SERVICES,9535.22,12,2015,equinor
AT&T TELECONFERENCE SERVICES,9695.7,12,2016,equinor
AT&T TELECONFERENCE SERVICES,9477.19,11,2017,equinor
AT&T TELECONFERENCE SERVICES,11548.2,12,2018,equinor
"Atchafalaya Measurement, Inc.",46005,4,2017,equinor
"Atchafalaya Measurement, Inc.",64892.68,13,2018,equinor
Atea AS,1875,1,2015,equinor
Atea AS,23490.72,2,2016,equinor
Atea AS,218963.09,28,2017,equinor
Atea AS,195206.73,33,2018,equinor
Atea Sverige AB,115951.26,16,2016,equinor
Atea Sverige AB,-7578.13,1,2017,equinor
"A-Texian Compressor, Inc.",36190.26,9,2015,equinor
"A-Texian Compressor, Inc.",2750,1,2016,equinor
Athenian Consulting Group LLC,1420753.82,45,2015,equinor
