Total_Invoice_Amount	Year	Total_Invoice_Count	Client	Supplier_ref
651780.210000	2017	12.750000	"con edison"	"nic holding corp"
425555.090000	2016	12.750000	"con edison"	"nic holding corp"
381980.060000	2018	12.750000	"con edison"	"nic holding corp"
21936346.630000	2018	1200.750000	"con edison"	"northline utilities"
14610839.580000	2017	1200.750000	"con edison"	"northline utilities"
19271005.790000	2016	1200.750000	"con edison"	"northline utilities"
19271005.790000	2016	1200.750000	"con edison"	"northline utilities"
4525944.710000	2017	436.000000	"con edison"	"ny plumbing heating cooling corp"
3217582.410000	2018	436.000000	"con edison"	"ny plumbing heating cooling corp"
3372424.890000	2016	436.000000	"con edison"	"ny plumbing heating cooling corp"
3372424.890000	2016	436.000000	"con edison"	"ny plumbing heating cooling corp"
4816351.640000	2017	43.000000	"con edison"	"ocs industries"
3419977.610000	2018	43.000000	"con edison"	"ocs industries"
3302444.310000	2016	43.000000	"con edison"	"ocs industries"
3302444.310000	2016	43.000000	"con edison"	"ocs industries"
5835936.480000	2016	48.250000	"con edison"	"okonite co"
9401407.460000	2017	48.250000	"con edison"	"okonite co"
5763829.490000	2018	48.250000	"con edison"	"okonite co"
5835936.480000	2016	48.250000	"con edison"	"okonite co"
1503570.000000	2016	162.750000	"con edison"	"oldcastle precast"
1270670.500000	2018	162.750000	"con edison"	"oldcastle precast"
1503570.000000	2016	162.750000	"con edison"	"oldcastle precast"
1503024.500000	2017	162.750000	"con edison"	"oldcastle precast"
8063115.860000	2017	70.750000	"con edison"	"oleary construction"
5644417.640000	2016	70.750000	"con edison"	"oleary construction"
5644417.640000	2016	70.750000	"con edison"	"oleary construction"
7933598.690000	2018	70.750000	"con edison"	"oleary construction"
5911325.990000	2018	12.250000	"con edison"	"omnetric corp"
9068157.610000	2017	12.250000	"con edison"	"omnetric corp"
3450239.040000	2016	12.250000	"con edison"	"omnetric corp"
3450239.040000	2016	12.250000	"con edison"	"omnetric corp"
434776.100000	2016	65.000000	"con edison"	"one call concepts"
409493.890000	2018	65.000000	"con edison"	"one call concepts"
434776.100000	2016	65.000000	"con edison"	"one call concepts"
504250.140000	2017	65.000000	"con edison"	"one call concepts"
1613979.570000	2016	26.250000	"con edison"	"open text"
1613979.570000	2016	26.250000	"con edison"	"open text"
583020.620000	2017	26.250000	"con edison"	"open text"
95826.240000	2018	26.250000	"con edison"	"open text"
1090616.520000	2017	2.250000	"con edison"	"operations technology development"
1355270.000000	2016	2.250000	"con edison"	"operations technology development"
942056.230000	2018	2.250000	"con edison"	"operations technology development"
1355270.000000	2016	2.250000	"con edison"	"operations technology development"
738736.430000	2018	5.250000	"con edison"	"optiv security"
148722.840000	2016	5.250000	"con edison"	"optiv security"
824984.120000	2017	5.250000	"con edison"	"optiv security"
148722.840000	2016	5.250000	"con edison"	"optiv security"
0.000000	2016	4.000000	"con edison"	"opvantek"
1241848.480000	2018	4.000000	"con edison"	"opvantek"
0.000000	2016	4.000000	"con edison"	"opvantek"
732025.450000	2017	4.000000	"con edison"	"opvantek"
912314.980000	2018	2.750000	"con edison"	"osisoft"
1830976.840000	2017	2.750000	"con edison"	"osisoft"
630050.140000	2016	2.750000	"con edison"	"osisoft"
630050.140000	2016	2.750000	"con edison"	"osisoft"
25622926.310000	2016	458.250000	"con edison"	"osmose utilities services"
10769621.960000	2018	458.250000	"con edison"	"osmose utilities services"
25622926.310000	2016	458.250000	"con edison"	"osmose utilities services"
9183109.890000	2017	458.250000	"con edison"	"osmose utilities services"
8810586.030000	2016	60.750000	"con edison"	"otone mechanical construction"
8810586.030000	2016	60.750000	"con edison"	"otone mechanical construction"
7519563.040000	2018	60.750000	"con edison"	"otone mechanical construction"
3741085.770000	2017	60.750000	"con edison"	"otone mechanical construction"
4046202.900000	2017	280.750000	"con edison"	"p pohorence & son landscaping"
3326733.330000	2018	280.750000	"con edison"	"p pohorence & son landscaping"
3643946.020000	2016	280.750000	"con edison"	"p pohorence & son landscaping"
3643946.020000	2016	280.750000	"con edison"	"p pohorence & son landscaping"
4002202.170000	2016	26.250000	"con edison"	"p&t ii contracting corp"
8785480.810000	2017	26.250000	"con edison"	"p&t ii contracting corp"
5660925.130000	2018	26.250000	"con edison"	"p&t ii contracting corp"
4002202.170000	2016	26.250000	"con edison"	"p&t ii contracting corp"
6956125.080000	2017	52.000000	"con edison"	"pab contracting"
9141005.860000	2018	52.000000	"con edison"	"pab contracting"
8201832.070000	2016	52.000000	"con edison"	"pab contracting"
8201832.070000	2016	52.000000	"con edison"	"pab contracting"
413875.520000	2018	41.000000	"con edison"	"peak energy systems"
600713.740000	2016	41.000000	"con edison"	"peak energy systems"
540289.780000	2017	41.000000	"con edison"	"peak energy systems"
600713.740000	2016	41.000000	"con edison"	"peak energy systems"
8002788.800000	2018	358.500000	"con edison"	"peduto construction corp"
13686631.400000	2016	358.500000	"con edison"	"peduto construction corp"
12092580.250000	2017	358.500000	"con edison"	"peduto construction corp"
13686631.400000	2016	358.500000	"con edison"	"peduto construction corp"
3277652.080000	2016	13.000000	"con edison"	"pegasystems"
1192733.540000	2017	13.000000	"con edison"	"pegasystems"
3277652.080000	2016	13.000000	"con edison"	"pegasystems"
695968.700000	2018	13.000000	"con edison"	"pegasystems"
752004.000000	2018	33.000000	"con edison"	"perficient"
515142.000000	2016	33.000000	"con edison"	"perficient"
816390.020000	2017	33.000000	"con edison"	"perficient"
515142.000000	2016	33.000000	"con edison"	"perficient"
2700.000000	2017	16.000000	"con edison"	"performance pipe"
4450.000000	2018	16.000000	"con edison"	"performance pipe"
1360166.230000	2016	16.000000	"con edison"	"performance pipe"
1360166.230000	2016	16.000000	"con edison"	"performance pipe"
32748561.740000	2016	120.250000	"con edison"	"petmar builders co a division of yonkers contracting"
41723043.710000	2017	120.250000	"con edison"	"petmar builders co a division of yonkers contracting"
47724999.350000	2018	120.250000	"con edison"	"petmar builders co a division of yonkers contracting"
32748561.740000	2016	120.250000	"con edison"	"petmar builders co a division of yonkers contracting"
13480449.580000	2017	90.000000	"con edison"	"petrillo contracting"
12635551.980000	2016	90.000000	"con edison"	"petrillo contracting"
12635551.980000	2016	90.000000	"con edison"	"petrillo contracting"
17027500.100000	2018	90.000000	"con edison"	"petrillo contracting"
290453.990000	2016	19.750000	"con edison"	"phenix technologies"
614076.580000	2017	19.750000	"con edison"	"phenix technologies"
441964.610000	2018	19.750000	"con edison"	"phenix technologies"
290453.990000	2016	19.750000	"con edison"	"phenix technologies"
307690.240000	2017	2.500000	"con edison"	"platts"
328503.000000	2018	2.500000	"con edison"	"platts"
400798.000000	2016	2.500000	"con edison"	"platts"
400798.000000	2016	2.500000	"con edison"	"platts"
1235498.660000	2016	51.500000	"con edison"	"plcs"
221745.080000	2017	51.500000	"con edison"	"plcs"
1235498.660000	2016	51.500000	"con edison"	"plcs"
370334.070000	2018	51.500000	"con edison"	"plcs"
28309308.230000	2016	996.000000	"con edison"	"posillico"
14884753.700000	2018	996.000000	"con edison"	"posillico"
22482275.990000	2017	996.000000	"con edison"	"posillico"
28309308.230000	2016	996.000000	"con edison"	"posillico"
13855476.770000	2018	59.750000	"con edison"	"power survey co"
10340046.120000	2016	59.750000	"con edison"	"power survey co"
14202925.440000	2017	59.750000	"con edison"	"power survey co"
10340046.120000	2016	59.750000	"con edison"	"power survey co"
906719.340000	2016	9.750000	"con edison"	"powerplan"
906719.340000	2016	9.750000	"con edison"	"powerplan"
2975863.210000	2018	9.750000	"con edison"	"powerplan"
359486.080000	2017	9.750000	"con edison"	"powerplan"
18801877.110000	2017	1043.000000	"con edison"	"precision pipeline solutions"
14649846.580000	2016	1043.000000	"con edison"	"precision pipeline solutions"
14649846.580000	2016	1043.000000	"con edison"	"precision pipeline solutions"
31289041.790000	2018	1043.000000	"con edison"	"precision pipeline solutions"
6664220.380000	2016	235.500000	"con edison"	"premier utility services"
8472332.350000	2018	235.500000	"con edison"	"premier utility services"
2790599.020000	2017	235.500000	"con edison"	"premier utility services"
6664220.380000	2016	235.500000	"con edison"	"premier utility services"
37388890.550000	2018	219.250000	"con edison"	"presidio holdings"
11199030.090000	2016	219.250000	"con edison"	"presidio holdings"
11199030.090000	2016	219.250000	"con edison"	"presidio holdings"
15694611.300000	2017	219.250000	"con edison"	"presidio holdings"
1209492.250000	2016	7.000000	"con edison"	"prism international"
1209492.250000	2016	7.000000	"con edison"	"prism international"
81719.990000	2017	7.000000	"con edison"	"prism international"
274249.050000	2018	7.000000	"con edison"	"prism international"
504776.710000	2018	12.750000	"con edison"	"proquip"
492094.410000	2016	12.750000	"con edison"	"proquip"
628514.430000	2017	12.750000	"con edison"	"proquip"
492094.410000	2016	12.750000	"con edison"	"proquip"
5173623.160000	2016	19.250000	"con edison"	"protek locating"
