Supplier	Total_Invoice_Amount	Total_Invoice_Count	Year	Client	Record_Count
"American Assoc of Prof. Landmen, In"	10000.000000	1.000000	2018	"equinor"	1
"American Bureau of Shipping - Ameri"	3393.000000	1.000000	2017	"equinor"	1
"American Bureau of Shipping - Ameri"	108844.600000	7.000000	2018	"equinor"	4
"American Casing And Equipment, Inc"	1744928.170000	201.000000	2015	"equinor"	2
"American Casing And Equipment, Inc"	366221.000000	47.000000	2016	"equinor"	1
"American Casing And Equipment, Inc"	76719.000000	13.000000	2017	"equinor"	2
"American Eagle Logistics, LLC"	333155.010000	292.000000	2015	"equinor"	3
"American Eagle Logistics, LLC"	14311.550000	31.000000	2016	"equinor"	2
"American Eagle Logistics, LLC"	37794.610000	20.000000	2017	"equinor"	4
"American Eagle Logistics, LLC"	126082.750000	149.000000	2018	"equinor"	2
"American Endowment Foundation"	61442.620000	2.000000	2017	"equinor"	1
"American Engineering Testing, Inc"	220795.250000	57.000000	2015	"equinor"	2
"American Engineering Testing, Inc"	59283.680000	10.000000	2016	"equinor"	2
"American Engineering Testing, Inc"	110402.140000	22.000000	2017	"equinor"	3
"American Engineering Testing, Inc"	468098.380000	94.000000	2018	"equinor"	3
"American Erecting Company"	0.000000	4.000000	2016	"equinor"	1
"American Interests"	6010.000000	4.000000	2016	"equinor"	1
"American Oil Tools LLC"	303344.200000	92.000000	2015	"equinor"	2
"American Oil Tools LLC"	132342.320000	53.000000	2016	"equinor"	2
"American Oil Tools LLC"	216881.500000	64.000000	2017	"equinor"	1
"American Oil Tools LLC"	71838.030000	21.000000	2018	"equinor"	1
"American Online Giving Foundation,"	306744.290000	10.000000	2017	"equinor"	1
"American Online Giving Foundation,"	169985.250000	12.000000	2018	"equinor"	1
"American Petroleum Institute"	1670324.000000	6.000000	2015	"equinor"	3
"American Petroleum Institute"	1625170.000000	7.000000	2016	"equinor"	3
"American Petroleum Institute"	1358051.000000	7.000000	2017	"equinor"	3
"American Petroleum Institute"	1805755.000000	5.000000	2018	"equinor"	2
"American Recovery, LLC"	108640.550000	90.000000	2015	"equinor"	3
"American Recovery, LLC"	63190.680000	46.000000	2016	"equinor"	2
"American Well Service, Inc."	1247516.620000	34.000000	2018	"equinor"	1
"American Wind Energy Association"	20000.000000	1.000000	2017	"equinor"	1
"American Wind Energy Association"	2500.000000	1.000000	2018	"equinor"	1
"Ameripride Services, Inc."	5533.290000	52.000000	2015	"equinor"	1
"Ameripride Services, Inc."	6532.670000	76.000000	2016	"equinor"	1
"Ameripride Services, Inc."	1714.330000	21.000000	2017	"equinor"	1
"Ameripride Services, Inc."	14675.650000	139.000000	2018	"equinor"	1
"Ames Water Depots"	497666.650000	3.000000	2015	"equinor"	1
"AMS - PAR Consultants"	98154.750000	4.000000	2016	"equinor"	4
"AMS - PAR Consultants"	75358.470000	7.000000	2017	"equinor"	3
"AMS - PAR Consultants"	85490.220000	8.000000	2018	"equinor"	3
"Amspec L.L.C."	37166.620000	9.000000	2015	"equinor"	1
"Amspec L.L.C."	10549.830000	3.000000	2016	"equinor"	1
