Total_Invoice_Amount	Year	Total_Invoice_Count	Client	Supplier_ref
	2015	3.250000	"marathonpetroleum"	"arrow tank & engineering company"
226075.740000	2017	45.500000	"marathonpetroleum"	"ashland"
1929066.080000	2016	45.500000	"marathonpetroleum"	"ashland"
8341136.510000	2015	45.500000	"marathonpetroleum"	"ashland"
3803270.000000	2018	950817.500000	"marathonpetroleum"	"aspen technology"
3197685.420000	2015	29.500000	"marathonpetroleum"	"aspen technology"
3792161.840000	2017	29.500000	"marathonpetroleum"	"aspen technology"
3109599.320000	2016	29.500000	"marathonpetroleum"	"aspen technology"
3723337.260000	2015	107.500000	"marathonpetroleum"	"asplundh construction corp"
1175568.980000	2018	293892.245000	"marathonpetroleum"	"asplundh construction corp"
1412342.550000	2016	107.500000	"marathonpetroleum"	"asplundh construction corp"
1019402.380000	2017	107.500000	"marathonpetroleum"	"asplundh construction corp"
510982.740000	2017	20.250000	"marathonpetroleum"	"associated asphalt"
1850817.370000	2016	20.250000	"marathonpetroleum"	"associated asphalt"
1735694.460000	2015	20.250000	"marathonpetroleum"	"associated asphalt"
8848135.590000	2016	1703.500000	"marathonpetroleum"	"atc group services"
4099623.450000	2017	1703.500000	"marathonpetroleum"	"atc group services"
9499152.510000	2015	1703.500000	"marathonpetroleum"	"atc group services"
6591172.860000	2018	1647793.215000	"marathonpetroleum"	"atc group services"
12496241.000000	2018	3124060.250000	"marathonpetroleum"	"atcs"
12397221.410000	2017	90.000000	"marathonpetroleum"	"atcs"
10783260.990000	2016	90.000000	"marathonpetroleum"	"atcs"
18107779.710000	2015	90.000000	"marathonpetroleum"	"atcs"
2937334.730000	2018	734333.682500	"marathonpetroleum"	"atlas interstate agent"
3774107.370000	2015	418.000000	"marathonpetroleum"	"atlas interstate agent"
2510642.240000	2017	418.000000	"marathonpetroleum"	"atlas interstate agent"
3416192.180000	2016	418.000000	"marathonpetroleum"	"atlas interstate agent"
1109469.980000	2018	277367.495000	"marathonpetroleum"	"attaway services"
2166649.560000	2015	266.000000	"marathonpetroleum"	"attaway services"
1716523.400000	2016	266.000000	"marathonpetroleum"	"attaway services"
1225015.120000	2017	266.000000	"marathonpetroleum"	"attaway services"
2285763.550000	2018	571440.887500	"marathonpetroleum"	"audubon engineering company lp"
3199094.620000	2017	257.250000	"marathonpetroleum"	"audubon engineering company lp"
12279334.530000	2016	257.250000	"marathonpetroleum"	"audubon engineering company lp"
1238208.380000	2015	257.250000	"marathonpetroleum"	"audubon engineering company lp"
11001656.750000	2018	2750414.187500	"marathonpetroleum"	"austin industrial services lp"
1758114.600000	2016	750.000000	"marathonpetroleum"	"awc"
1201832.420000	2015	750.000000	"marathonpetroleum"	"awc"
1780588.870000	2017	750.000000	"marathonpetroleum"	"awc"
782210.910000	2018	195552.727500	"marathonpetroleum"	"awc"
6438738.650000	2018	1609684.662500	"marathonpetroleum"	"axios industrial maintenance"
831498.600000	2018	207874.650000	"marathonpetroleum"	"axon solutions"
1481991.400000	2016	67.250000	"marathonpetroleum"	"axon solutions"
800947.790000	2017	67.250000	"marathonpetroleum"	"axon solutions"
8717209.580000	2015	67.250000	"marathonpetroleum"	"axon solutions"
1226202.910000	2017	155.750000	"marathonpetroleum"	"badger daylighting lp"
424584.020000	2018	106146.005000	"marathonpetroleum"	"badger daylighting lp"
1568492.610000	2016	155.750000	"marathonpetroleum"	"badger daylighting lp"
1699161.690000	2015	155.750000	"marathonpetroleum"	"badger daylighting lp"
24947349.050000	2015	899.750000	"marathonpetroleum"	"baker hughes"
16350794.400000	2017	899.750000	"marathonpetroleum"	"baker hughes"
30846035.590000	2018	7711508.897500	"marathonpetroleum"	"baker hughes"
22448379.890000	2016	899.750000	"marathonpetroleum"	"baker hughes"
2775383.930000	2016	1108.000000	"marathonpetroleum"	"bakercorp"
3151128.990000	2017	1108.000000	"marathonpetroleum"	"bakercorp"
3194992.240000	2015	1108.000000	"marathonpetroleum"	"bakercorp"
3793769.510000	2018	948442.377500	"marathonpetroleum"	"bakercorp"
	2016	8.000000	"marathonpetroleum"	"barriere construction company"
1250048.890000	2015	8.000000	"marathonpetroleum"	"barriere construction company"
1924370.850000	2017	8.000000	"marathonpetroleum"	"barriere construction company"
436810.250000	2018	109202.562500	"marathonpetroleum"	"barriere construction company"
41449247.320000	2015	668.000000	"marathonpetroleum"	"basf corporation"
22079515.920000	2017	668.000000	"marathonpetroleum"	"basf corporation"
36629947.500000	2016	668.000000	"marathonpetroleum"	"basf corporation"
29544661.210000	2018	7386165.302500	"marathonpetroleum"	"basf corporation"
1042524.310000	2017	3457.500000	"marathonpetroleum"	"bay auto & truck parts"
1545437.180000	2015	3457.500000	"marathonpetroleum"	"bay auto & truck parts"
1502058.810000	2016	3457.500000	"marathonpetroleum"	"bay auto & truck parts"
1511223.470000	2018	377805.867500	"marathonpetroleum"	"bay auto & truck parts"
2981863.930000	2016	527.250000	"marathonpetroleum"	"bay industrial safety services"
2744215.960000	2015	527.250000	"marathonpetroleum"	"bay industrial safety services"
853298.840000	2018	213324.710000	"marathonpetroleum"	"bay industrial safety services"
690106.840000	2017	527.250000	"marathonpetroleum"	"bay industrial safety services"
4373274.170000	2018	1093318.542500	"marathonpetroleum"	"beaver constructors"
4133534.640000	2017	789.000000	"marathonpetroleum"	"beaver constructors"
12698484.440000	2015	789.000000	"marathonpetroleum"	"beaver constructors"
6997967.950000	2016	789.000000	"marathonpetroleum"	"beaver constructors"
2068999.000000	2016	21.750000	"marathonpetroleum"	"becht engineering co"
504776.000000	2015	21.750000	"marathonpetroleum"	"becht engineering co"
808970.000000	2017	21.750000	"marathonpetroleum"	"becht engineering co"
1338704.990000	2018	334676.247500	"marathonpetroleum"	"becht engineering co"
6149576.020000	2018	1537394.005000	"marathonpetroleum"	"bechtel hydrocarbon technology"
19458103.610000	2018	4864525.902500	"marathonpetroleum"	"bechtel oil gas and chemicals"
382192.750000	2017	78.250000	"marathonpetroleum"	"berco industrial"
2419441.980000	2016	78.250000	"marathonpetroleum"	"berco industrial"
1631136.800000	2015	78.250000	"marathonpetroleum"	"berco industrial"
1026904.180000	2018	256726.045000	"marathonpetroleum"	"berco industrial"
1536345.670000	2017	831.000000	"marathonpetroleum"	"better brands"
1770868.180000	2018	442717.045000	"marathonpetroleum"	"better brands"
1800661.300000	2016	831.000000	"marathonpetroleum"	"better brands"
45612.870000	2015	831.000000	"marathonpetroleum"	"better brands"
	2015	43.000000	"marathonpetroleum"	"bhi energy specialty services"
182773.640000	2018	45693.410000	"marathonpetroleum"	"bhi energy specialty services"
5166645.990000	2017	43.000000	"marathonpetroleum"	"bhi energy specialty services"
	2016	43.000000	"marathonpetroleum"	"bhi energy specialty services"
12193409.260000	2015	1692.250000	"marathonpetroleum"	"blackhawk engineering"
